Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
M. VERSTAPPEN,2022,0,,,,0,25,15,25,,25,25,27,6,,25,26,25,26,6,25,,34,,,25,,25,25,13,,26,25,454
C. LECLERC,2022,26,,,,26,0,12,10,,0,0,32,12,,8,8,18,15,18,15,,15,,,18,,19,15,15,,18,8,308
S. PEREZ,2022,18,,,,0,19,25,0,,12,19,4,18,,10,18,9,10,25,18,,24,,,15,,12,12,10,,12,15,305
G. RUSSELL,2022,15,,,,12,15,10,12,,15,15,17,0,,15,12,15,18,0,4,,12,,,10,,10,11,34,,10,13,275
C. SAINZ,2022,0,,,,18,12,18,19,,11,0,6,25,,12,15,12,4,15,0,,5,,,12,,15,0,22,,15,10,246
L. HAMILTON,2022,12,,,,15,10,4,15,,18,12,16,16,,19,0,10,12,2,10,,0,,,0,,1,18,24,,8,18,240
L. NORRIS,2022,10,,,,0,4,9,0,,6,2,6,8,,6,0,6,6,12,1,,19,,,9,,6,8,2,,0,2,122
E. OCON,2022,6,,,,6,6,0,8,,4,1,13,0,,2,6,0,2,0,12,,0,,,6,,8,0,4,,4,4,92
F. ALONSO,2022,0,,,,2,2,6,2,,8,6,1,10,,4,10,0,8,0,6,,0,,,0,,0,6,10,,0,0,81
V. BOTTAS,2022,4,,,,8,8,2,6,,0,0,0,0,,0,0,0,0,0,0,,12,,,0,,0,0,2,,6,1,49
D. RICCIARDO,2022,8,,,,0,0,0,0,,2,4,2,0,,0,0,0,0,10,0,,3,,,2,,0,0,0,,0,6,37
S. VETTEL,2022,0,,,,0,0,1,0,,0,8,0,2,,1,4,0,0,4,8,,4,,,1,,,4,0,,0,0,37
K. MAGNUSSEN,2022,0,,,,10,0,0,0,,0,0,6,1,,0,0,0,0,0,0,,3,,,0,,2,2,1,,0,0,25
P. GASLY,2022,2,,,,0,0,0,0,,0,10,0,0,,0,2,4,0,1,0,,0,,,0,,4,0,0,,0,0,23
L. STROLL,2022,0,,,,0,0,0,1,,1,0,0,0,,0,0,0,1,8,0,,1,,,4,,0,0,1,,1,0,18
M. SCHUMACHER,2022,0,,,,0,0,0,0,,0,0,8,4,,0,0,0,0,0,0,,0,,,0,,0,0,0,,0,0,12
Y. TSUNODA,2022,0,,,,4,1,0,0,,0,0,0,0,,0,0,0,0,0,0,,6,,,0,,0,1,0,,0,0,12
G. ZHOU,2022,0,,,,1,0,0,4,,0,0,0,0,,0,0,1,0,0,0,,0,,,0,,0,0,0,,0,0,6
A. ALBON,2022,1,,,,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,,0,,,0,,0,0,0,,2,0,4
N. LATIFI,2022,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,2,,0,,,0,,0,0,0,,0,0,2
N. de VRIES,2022,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
N. HULKENBERG,2022,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
M. VERSTAPPEN,2023,25,,,,25,26,25,25,,,24,34,26,,26,33,25,25,10,26,,,,,26,33,19,33,33,25,26,25,575
S. PEREZ,2023,11,,,,18,12,0,9,,,33,22,8,,15,18,18,12,4,0,,,,,12,1,25,16,18,15,18,0,285
L. HAMILTON,2023,18,,,,10,18,13,15,,,10,4,15,,12,15,8,8,16,10,,,,,2,4,10,7,6,6,8,19,234
F. ALONSO,2023,15,,,,15,6,18,18,,,15,14,6,,2,10,2,19,0,4,,,,,6,9,15,0,15,2,15,0,206
C. LECLERC,2023,0,,,,0,0,8,12,,,22,18,2,,6,19,12,0,12,12,,,,,18,10,6,6,4,18,6,15,206
L. NORRIS,2023,8,,,,0,0,2,0,,,2,12,18,,18,9,4,6,18,18,,,,,10,21,0,23,26,0,0,10,205
C. SAINZ,2023,0,,,,12,10,4,10,,,14,14,1,,4,5,15,10,25,8,,,,,0,3,8,18,9,8,10,12,200
G. RUSSELL,2023,0,,,,6,15,10,0,,,10,7,10,,8,9,10,0,0,6,,,,,15,17,12,11,5,4,12,8,175
O. PIASTRI,2023,4,,,,0,0,1,0,,,0,0,12,,10,7,0,2,6,15,,,,,8,26,0,0,0,2,0,4,97
L. STROLL,2023,12,,,,8,8,0,2,,,7,7,0,,1,2,0,0,0,0,,,,,1,0,0,6,10,10,0,0,74
P. GASLY,2023,0,,,,2,1,6,0,,,0,1,0,,0,6,0,15,8,1,,,,,0,0,2,10,6,0,4,0,62
E. OCON,2023,0,,,,0,4,15,4,,,0,2,0,,0,4,0,1,0,2,,,,,0,6,4,0,1,12,2,1,58
A. ALBON,2023,0,,,,1,0,0,6,,,0,0,4,,0,0,6,4,0,0,,,,,0,2,0,2,0,0,0,2,27
Y. TSUNODA,2023,1,,,,0,0,0,0,,,1,0,0,,0,1,0,0,0,0,,,,,4,0,0,5,5,0,0,0,17
V. BOTTAS,2023,0,,,,4,0,0,1,,,0,0,0,,0,0,1,0,0,0,,,,,0,4,0,0,0,0,0,0,10
N. HULKENBERG,2023,6,,,,0,0,0,0,,,0,3,0,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,9
D. RICCIARDO,2023,,,,,,,,,,,,,,,0,0,,0,,,,,,,0,,,0,0,0,,6,6
G. ZHOU,2023,2,,,,0,2,0,0,,,0,0,0,,0,0,0,0,0,0,,,,,0,2,0,0,0,0,0,0,6
K. MAGNUSSEN,2023,0,,,,0,0,0,0,,,0,0,0,,0,0,0,0,1,0,,,,,0,0,1,0,0,0,1,0,3
L. LAWSON,2023,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,0,,,,,,,2
L. SARGEANT,2023,0,,,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,1
N. de VRIES,2023,0,,,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,0,,,,0,,0
M. VERSTAPPEN,2024,0,,33,,26,25,8,25,,,10,18,18,,10,12,8,18,18,26,,25,,,8,26,25,23,31,10,26,8,437
L. NORRIS,2024,15,,21,,8,19,12,18,,,13,6,15,,18,10,16,26,25,10,,18,,,25,9,4,18,16,9,25,18,374
C. LECLERC,2024,19,,17,,12,10,25,0,,,18,2,0,,12,15,25,15,10,12,,15,,,15,22,16,30,16,12,22,16,356
O. PIASTRI,2024,12,,6,,4,6,18,10,,,25,25,12,,25,18,18,12,15,4,,12,,,1,23,12,10,11,6,3,4,292
C. SAINZ,2024,25,,14,,15,8,15,0,,,0,19,11,,8,8,12,10,6,15,,10,,,18,13,0,25,4,15,14,25,290
G. RUSSELL,2024,0,,9,,10,12,10,15,,,15,30,0,,5,0,6,6,12,6,,7,,,10,18,8,12,15,25,4,10,245
L. HAMILTON,2024,0,,9,,6,15,7,13,,,2,15,25,,15,25,10,4,8,2,,8,,,12,3,2,3,1,18,8,12,223
S. PEREZ,2024,10,,21,,18,4,0,0,,,0,7,0,,6,7,4,8,1,18,,4,,,0,0,18,6,1,1,18,0,152
F. ALONSO,2024,4,,7,,2,0,0,8,,,8,0,4,,0,4,0,1,4,8,,0,,,2,6,10,0,0,0,2,0,70
P. GASLY,2024,0,,0,,0,2,1,2,,,0,1,0,,0,0,0,2,0,0,,0,,,6,10,0,0,17,0,0,1,42
N. HULKENBERG,2024,2,,1,,0,0,0,0,,,0,8,8,,0,0,0,0,2,0,,0,,,4,2,1,5,0,4,2,2,41
Y. TSUNODA,2024,6,,0,,0,0,4,0,,,0,0,1,,2,0,0,0,0,1,,1,,,0,0,0,0,6,2,7,0,30
L. STROLL,2024,8,,0,,1,0,0,6,,,0,0,6,,1,0,0,0,0,0,,2,,,0,0,0,0,0,0,0,0,24
E. OCON,2024,0,,0,,0,1,0,1,,,0,0,0,,0,2,0,0,0,0,,0,,,,0,0,0,18,0,1,0,23
K. MAGNUSSEN,2024,1,,0,,0,0,0,0,,,,4,0,,0,0,1,0,0,0,,0,,,0,2,0,2,0,0,0,6,16
A. ALBON,2024,0,,0,,0,0,2,0,,,6,0,2,,0,0,2,0,0,0,,0,,,0,0,0,0,0,0,0,0,12
D. RICCIARDO,2024,0,,0,,0,0,0,4,,,0,2,0,,0,1,0,0,0,0,,0,,,,,0,,,,5,,12
O. BEARMAN,2024,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,0,,,,7
